MonitoringLocationName,MonitoringLocationIdentifier,Latitude,Longitude,DateTime_AST,TSS
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2022-08-02T14:55:00Z,7.7
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2022-11-16T13:28:00Z,2.9
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2023-01-12T13:16:00Z,2.9
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2023-05-15T12:06:00Z,2.3
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2023-09-05T13:40:00Z,4
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2023-12-19T12:14:00Z,4.1
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2024-01-31T14:35:00Z,3.5
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2024-05-20T14:44:00Z,4.4
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2024-05-20T14:48:00Z,4.4
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2024-05-20T14:48:00Z,4.5
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2024-09-09T13:43:00Z,2.9
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2024-12-16T14:34:00Z,4.8
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2024-12-16T14:38:00Z,4.7
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2025-01-29T14:00:00Z,3.6
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2025-06-22T15:45:00Z,2.5
Krum Bay,EPAR2_USVIBAWQMP_WQX-STT-4,18.33153,-64.96107,2022-11-03T13:30:00Z,3.8
Krum Bay,EPAR2_USVIBAWQMP_WQX-STT-4,18.33153,-64.96107,2023-01-12T11:57:00Z,7.2
Krum Bay,EPAR2_USVIBAWQMP_WQX-STT-4,18.33153,-64.96107,2023-01-12T12:00:00Z,7.4
Krum Bay,EPAR2_USVIBAWQMP_WQX-STT-4,18.33153,-64.96107,2023-05-15T11:18:00Z,2.6
Krum Bay,EPAR2_USVIBAWQMP_WQX-STT-4,18.33153,-64.96107,2023-09-05T12:29:00Z,5.7
Krum Bay,EPAR2_USVIBAWQMP_WQX-STT-4,18.33153,-64.96107,2023-12-01T14:06:00Z,3.9
Krum Bay,EPAR2_USVIBAWQMP_WQX-STT-4,18.33153,-64.96107,2024-01-31T13:27:00Z,3.8
Krum Bay,EPAR2_USVIBAWQMP_WQX-STT-4,18.33153,-64.96107,2024-05-25T10:31:00Z,4.5
Krum Bay,EPAR2_USVIBAWQMP_WQX-STT-4,18.33153,-64.96107,2024-09-09T12:53:00Z,3.2
Krum Bay,EPAR2_USVIBAWQMP_WQX-STT-4,18.33153,-64.96107,2024-12-18T11:04:00Z,2.8
Krum Bay,EPAR2_USVIBAWQMP_WQX-STT-4,18.33153,-64.96107,2025-02-04T10:09:00Z,5.5
Krum Bay,EPAR2_USVIBAWQMP_WQX-STT-4,18.33153,-64.96107,2025-06-18T13:56:00Z,2.9
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-32B,18.33499,-64.91995,2022-11-03T12:00:00Z,4
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-32B,18.33499,-64.91995,2023-01-12T10:36:00Z,4.8
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-32B,18.33499,-64.91995,2023-05-15T10:15:00Z,3
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-32B,18.33499,-64.91995,2023-09-05T10:55:00Z,3.4
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-32B,18.33499,-64.91995,2023-12-01T12:59:00Z,2.4
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-32B,18.33499,-64.91995,2024-01-31T12:08:00Z,4.5
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-32B,18.33499,-64.91995,2024-05-25T11:32:00Z,4.5
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-32B,18.33499,-64.91995,2024-09-09T11:35:00Z,3.4
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-32B,18.33499,-64.91995,2024-12-18T10:06:00Z,4.3
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-32B,18.33499,-64.91995,2025-02-04T09:15:00Z,4.8
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-32B,18.33499,-64.91995,2025-06-18T12:42:00Z,4.7
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33A,18.33688,-64.92186,2022-11-03T12:09:00Z,3.8
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33A,18.33688,-64.92186,2023-01-12T10:42:00Z,5
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33A,18.33688,-64.92186,2023-05-15T10:28:00Z,1.8
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33A,18.33688,-64.92186,2023-09-05T11:06:00Z,3.3
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33A,18.33688,-64.92186,2023-12-01T13:05:00Z,2.7
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33A,18.33688,-64.92186,2024-01-31T12:20:00Z,3.4
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33A,18.33688,-64.92186,2024-05-25T11:27:00Z,3.1
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33A,18.33688,-64.92186,2024-09-09T11:43:00Z,3.8
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33A,18.33688,-64.92186,2024-12-18T10:16:00Z,4.1
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33A,18.33688,-64.92186,2025-02-04T09:22:00Z,3.3
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33A,18.33688,-64.92186,2025-06-18T12:48:00Z,3.5
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33B,18.3373,-64.92277,2022-11-03T12:15:00Z,3.9
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33B,18.3373,-64.92277,2022-11-03T12:15:00Z,4
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33B,18.3373,-64.92277,2023-01-12T10:52:00Z,4.7
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33B,18.3373,-64.92277,2023-05-15T10:33:00Z,2.4
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33B,18.3373,-64.92277,2023-09-05T11:10:00Z,2.6
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33B,18.3373,-64.92277,2023-09-05T11:16:00Z,2.6
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33B,18.3373,-64.92277,2023-09-05T11:16:00Z,2.7
