MonitoringLocationName,MonitoringLocationIdentifier,Latitude,Longitude,DateTime_AST,Turbidity,sig_letter
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-08-08T13:49:00Z,0.29,a
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-08-08T13:49:00Z,0.24,a
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-08-15T15:03:00Z,0.58,a
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-08-22T13:43:00Z,0.29,a
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-08-29T14:47:00Z,0.36,a
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-08-29T14:47:00Z,0.25,a
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-09-06T14:12:00Z,15.3,a
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-09-12T12:04:00Z,0.52,a
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-09-20T12:57:00Z,0.56,a
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-09-26T13:13:00Z,2.46,a
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-09-26T13:13:00Z,1.87,a
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-10-03T12:56:00Z,0.16,a
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-10-12T12:56:00Z,0.22,a
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2023-01-17T12:44:00Z,3.67,a
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2023-01-23T12:41:00Z,0.39,a
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2023-03-14T12:36:00Z,3.05,a
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2023-03-20T12:27:00Z,0.74,a
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2023-03-28T12:23:00Z,0.64,a
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2023-04-03T12:53:00Z,0.75,a
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2023-04-11T11:58:00Z,0.68,a
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2023-04-17T12:16:00Z,0.22,a
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2023-04-17T12:16:00Z,0.8,a
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2023-04-24T13:02:00Z,1.59,a
