MonitoringLocationName,MonitoringLocationIdentifier,Latitude,Longitude,DateTime_AST,DO,sig_letter
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2022-08-02T14:55:00Z,6.93,a
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2022-08-02T14:55:00Z,6.74,a
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2022-11-16T13:28:00Z,6.72,a
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2022-11-16T13:28:00Z,6.83,a
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2023-01-12T13:16:00Z,6.69,a
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2023-01-12T13:16:00Z,6.73,a
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2023-05-15T12:06:00Z,6.43,a
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2023-05-15T12:06:00Z,6.53,a
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2023-09-05T13:40:00Z,6.93,a
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2023-09-05T13:40:00Z,7.26,a
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2023-12-19T12:14:00Z,6.46,a
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2023-12-19T12:14:00Z,6.59,a
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2024-01-31T14:35:00Z,7.07,a
Brewers Bay,EPAR2_USVIBAWQMP_WQX-STT-7A,18.34269,-64.97777,2024-01-31T14:35:00Z,7.14,a
