MonitoringLocationName,Year,mean_Turbidity,SEM_Turbidity,mean_pH,SEM_pH,mean_Enterococcus,SEM_Enterococcus,mean_Phosphorus,SEM_Phosphorus,mean_TSS,SEM_TSS,mean_DO,SEM_DO,mean_Nitrogen,SEM_Nitrogen
Brewers Bay,2022,1.411764705882353,0.8819231306097478,8.01,0.05196152422706624,98.45454545454547,52.31362826720527,0.00675,1.4999999999999993e-4,5.3,2.4,6.805,0.048045117684665205,0.35050000000000003,0.01049999999999998
Brewers Bay,2023,0.741578947368421,0.23105942522882061,8.02125,0.009531432960773282,58.33333333333333,38.31593808209726,0.004975,0.0015380588415272022,3.3249999999999997,0.4366062299143245,6.7025,0.09810253382485662,0.32775,0.05208866639362795
Brewers Bay,2024,0.1,0.017407765595569787,7.950833333333334,0.030759534942826957,20,NA,0.008683333333333333,0.00209529897097712,4.171428571428572,0.2652171488694156,6.8341666666666665,0.0697338917354084,0.3968333333333333,0.029359174223930605
Brewers Bay,2025,0.23333333333333334,0.04944132324730442,8.111666666666666,0.019734346820821078,10,NA,0.008799999999999999,0.0036,3.05,0.5499999999999999,6.75,0.06153589738247636,0.362,0.08399999999999998
Krum Bay,2022,0.44999999999999996,0.15,7.8100000000000005,0.029999999999999805,74,NA,0.0163,NA,3.8,NA,6.175000000000001,0.14500000000000002,0.192,NA
Krum Bay,2023,0.47,0.09551032521262935,7.983,0.015423647068345588,166,8,0.01048,0.0014974645237867908,5.36,0.9330594836343502,6.162,0.08741726247016533,0.3188,0.010767543823918247
Krum Bay,2024,0.2,0.049999999999999996,7.915,0.04515845119449646,55,12.767145334803704,0.0068000000000000005,0.0013982131454109562,3.575,0.3705289012569285,6.0675,0.09149063183892496,0.40199999999999997,0.08140945890988342
Krum Bay,2025,0.4,0.14719601443879746,7.995,0.02901149197588201,NA,NA,0.0083,0.0019,4.2,1.3,6.725,0.42121847063014717,0.315,0.11799999999999998
Yacht Haven Grand,2022,1.1833333333333333,0.28215441005079317,7.8149999999999995,0.005627314338711442,85.66666666666666,65.44802857569084,0.009233333333333333,0.005358586048991324,3.925,0.04787135538781695,6.255,0.13749545447032055,0.4003333333333333,0.031317371821048115
Yacht Haven Grand,2023,1.4653846153846153,0.17470346812570128,7.9715384615384615,0.007936135616325472,208.16666666666669,179.63470649564852,0.0076230769230769225,7.629357809915326e-4,3.2,0.2635347215274477,6.351538461538461,0.0631523001778358,0.4117692307692308,0.027069983813601352
Yacht Haven Grand,2024,1.2375,0.17526506840468395,7.926666666666667,0.022981298845329817,485,210.0458283327712,0.00945,0.0014041335082857719,3.975,0.18794139963555048,6.029583333333333,0.06772300565663845,0.4215833333333333,0.02711436450714386
Yacht Haven Grand,2025,1.2666666666666666,0.15142421513513923,7.9275,0.03259310672612545,502,374.82306937184825,0.009383333333333334,0.0020530329866917498,4.233333333333333,0.4192586048941367,6.613333333333333,0.22577587885942882,0.45266666666666666,0.03704471772211406
