"","NMDS1","NMDS2","Species","distance"
"Arborescent_bryozoans",0.29491522106032,-0.330820756196052,"Arborescent_bryozoans",0.443189982223409
"Barnacles",0.2181731868112,0.204944949203609,"Barnacles",0.299335884329669
"Bivalves",0.089559901611935,0.142725384867124,"Bivalves",0.168497808478948
"Brown_algae",-0.330684981566082,-0.147020913586401,"Brown_algae",0.361894606294623
"Colonial_ascidians",0.32003617787965,0.161559087388803,"Colonial_ascidians",0.358503129511749
"Crustose_coralline_algae",-0.169877150967195,0.11168527507301,"Crustose_coralline_algae",0.203302353869465
"Cyanobacteria",0.0128246143066348,-0.249445055380109,"Cyanobacteria",0.249774511080894
"Encrusting_bryozoans",-0.300621725096372,0.121804318976358,"Encrusting_bryozoans",0.32436046880163
"Hydroids",-0.0717173498601724,-0.126412852793222,"Hydroids",0.145339559729232
"Red_algae",-0.0229991494043204,0.134887627271006,"Red_algae",0.136834326337086
"Soft_tube-building_polychaetes",0.155563214405705,0.128246370446836,"Soft_tube-building_polychaetes",0.201611123723425
"Solitary_ascidians",0.224693463412973,-0.0368066410851218,"Solitary_ascidians",0.227688122941198
"Sponge",-0.100810997857169,0.110635641632722,"Sponge",0.149676659798521
"Turf",-0.0574186986169438,0.126864219018514,"Turf",0.139253140065282
