site_code,location_name,transect,sample_collection_year,sample_collection_month,sample_collection_day,habitat_type,sample_event_personnel,photo_filename,photo_direction,camera_used,photographer,transect_begin_decimal_latitude,transect_begin_decimal_longitude,depth_max_m,sampling_event_notes
BRB,Brewers Bay,1,2025,2,6,dock,"HH, KG",BRB1_Pink_Week4_Day15,portrait,Google Pixel 8a,HH,18.340566,-64.977167,1.42,rained during collection
BRB,Brewers Bay,2,2025,2,6,dock,"HH, KG",BRB2_Orange_Week4_Day15,portrait,Google Pixel 8a,HH,18.340552,-64.977171,2.04,rained during collection
BRB,Brewers Bay,3,2025,2,6,dock,"HH, KG",BRB3_Green_Week4_Day15,portrait,Google Pixel 8a,HH,18.340539,-64.977155,2.02,rained during collection
BRB,Brewers Bay,4,2025,2,6,dock,"HH, KG",BRB4_Blue_Week4_Day15,portrait,Google Pixel 8a,HH,18.340527,-64.977155,1.9,rained during collection
BRB,Brewers Bay,5,2025,2,6,dock,"HH, KG",BRB5_Clear_Week4_Day15,portrait,Google Pixel 8a,KG,18.340522,-64.977173,1.72,rained during collection
BRB,Brewers Bay,6,2025,2,6,dock,"HH, KG",BRB6_Black_Week4_Day15,portrait,Google Pixel 8a,HH,18.340539,-64.977225,1.85,rained during collection
KRM,Krum Bay,1,2025,2,6,dock,"CC, MG",KRM1_Pink_Week4_Day15,portrait,Iphone 12 Pro Max,CC,18.331956,-64.960539,2,
KRM,Krum Bay,2,2025,2,6,dock,"CC, MG",KRM2_Orange_Week4_Day15,portrait,Iphone 12 Pro Max,CC,18.331957,-64.960451,1.4,
KRM,Krum Bay,3,2025,2,6,dock,"CC, MG",KRM3_Green_Week4_Day15,portrait,Iphone 12 Pro Max,CC,18.331954,-64.960483,1.27,
KRM,Krum Bay,4,2025,2,6,dock,"CC, MG",KRM4_Blue_Week4_Day15,portrait,Iphone 12 Pro Max,MG,18.332086,-64.960467,2.5,
KRM,Krum Bay,5,2025,2,6,dock,"CC, MG",KRM5_Clear_Week4_Day15,portrait,Iphone 12 Pro Max,MG,18.332027,-64.960446,3.7,
KRM,Krum Bay,6,2025,2,6,dock,"CC, MG",KRM6_Black_Week4_Day15,portrait,Iphone 12 Pro Max,MG,18.331981,-64.960471,1.1,
YHG,Yacht Haven Grand,1,2025,2,6,dock,"AS, ND, TB, SA, LG",YHG1_Pink_Week4_Day15,portrait,Iphone 15 Pro Max,LG,18.336607,-64.921294,2.09,
