Location,Sampling_date,Sampling_interval_day,Anemones,Arborescent_bryozoans,Barnacles,Bivalves,Brown_algae,Colonial_ascidians,Coral,Crustose_coralline_algae,Cyanobacteria,Echinodermata,Encrusting_bryozoans,Foraminifera,Green_algae,Hard_tube-building_polychaetes,Hydroids,Microalgae,Open_space,Oysters,Red_algae,Sediment,Sessile_gastropods,Soft_tube-building_polychaetes,Solitary_ascidians,Sponge,Tube-building_amphipods,Turf,Count_total_points,Count_valid_points
BRB,2025-02-06,15,0,0.011666666666666667,0,0,0.011666666666666667,0.02,0,0,0.065,0,0.02666666666666667,0,0.006666666666666667,0.13333333333333333,0.006666666666666667,0,0.42,0,0,0.29333333333333333,0,0,0,0.005,0,0,600,600
BRB,2025-02-21,30,0,0.09915966386554621,0,0,0.06050420168067227,0.0067226890756302525,0,0,0.07058823529411765,0,0.018487394957983194,0,0.01680672268907563,0.27899159663865547,0.0016806722689075631,0,0.3126050420168067,0,0,0.0957983193277311,0,0.008403361344537815,0.011764705882352941,0,0.01680672268907563,0.0016806722689075631,600,595
BRB,2025-03-08,45,0,0.395,0,0,0.02666666666666667,0.041666666666666664,0,0,0.14,0,0.023333333333333334,0,0,0.09833333333333333,0,0,0.18333333333333332,0,0,0.006666666666666667,0,0.016666666666666666,0.06666666666666667,0,0.0016666666666666668,0,600,600
BRB,2025-03-23,60,0,0.26666666666666666,0,0,0,0.485,0,0,0.005,0,0.058333333333333334,0,0,0.095,0,0,0.0016666666666666668,0,0,0,0,0.013333333333333334,0.06833333333333333,0,0.005,0.0016666666666666668,600,600
BRB,2025-04-06,75,0,0,0.0016666666666666668,0.01,0.013333333333333334,0.31833333333333336,0,0.005,0,0,0.055,0,0.01,0.09333333333333334,0,0,0.07166666666666667,0,0.008333333333333333,0.015,0,0.08666666666666667,0.04833333333333333,0.015,0,0.24833333333333332,600,600
BRB,2025-04-22,90,0,0.01,0,0,0.01,0.12833333333333333,0,0.021666666666666667,0.08166666666666667,0,0.17833333333333334,0,0.021666666666666667,0.125,0.0033333333333333335,0.041666666666666664,0.005,0,0.01,0,0,0.18833333333333332,0.0033333333333333335,0.01,0.018333333333333333,0.14333333333333334,600,600
KRM,2025-02-06,15,0,0.02337228714524207,0,0,0,0.015025041736227046,0,0,0,0,0.05342237061769616,0,0.005008347245409015,0.08347245409015025,0.04340567612687813,0,0.671118530884808,0,0,0.1018363939899833,0,0,0.001669449081803005,0.001669449081803005,0,0,600,599
KRM,2025-02-21,30,0,0,0,0,0.24833333333333332,0.013333333333333334,0,0,0,0,0.22166666666666668,0,0.01,0.075,0,0,0.39166666666666666,0,0,0.03333333333333333,0,0.0016666666666666668,0,0,0,0.005,600,600
KRM,2025-03-08,45,0,0.005,0,0,0.21833333333333332,0.016666666666666666,0,0,0.03,0,0.43,0,0.013333333333333334,0.105,0,0,0.17166666666666666,0,0,0.005,0,0,0,0,0,0.005,600,600
KRM,2025-03-23,60,0,0.0033333333333333335,0,0,0.056666666666666664,0.028333333333333332,0,0,0.013333333333333334,0,0.465,0,0.023333333333333334,0.16666666666666666,0.013333333333333334,0,0.06833333333333333,0,0,0,0,0.03166666666666667,0,0,0,0.13,600,600
KRM,2025-04-06,75,0,0,0,0.003780718336483932,0,0.09829867674858223,0,0,0,0,0.6257088846880907,0,0,0.11531190926275993,0,0,0.00945179584120983,0,0,0.03969754253308128,0,0.003780718336483932,0.007561436672967864,0.013232514177693762,0,0.0831758034026465,600,529
KRM,2025-04-22,90,0,0,0,0,0,0.06333333333333334,0,0.07166666666666667,0.03333333333333333,0,0.37166666666666665,0,0.008333333333333333,0.155,0.0033333333333333335,0,0.023333333333333334,0,0.016666666666666666,0,0,0.011666666666666667,0.01,0.07833333333333334,0.005,0.14833333333333334,600,600
YHG,2025-02-06,15,0,0,0,0,0,0.0033333333333333335,0,0,0.005,0,0,0,0,0.01,0,0,0.615,0,0,0.35833333333333334,0,0.0033333333333333335,0.0033333333333333335,0,0,0.0016666666666666668,600,600
YHG,2025-02-21,30,0,0.008333333333333333,0,0.0033333333333333335,0.0016666666666666668,0.13166666666666665,0,0.005,0.03666666666666667,0,0.02666666666666667,0,0.13833333333333334,0.045,0.006666666666666667,0,0.27666666666666667,0,0,0.12833333333333333,0,0.016666666666666666,0.011666666666666667,0.025,0,0.13833333333333334,600,600
YHG,2025-03-08,45,0,0.008333333333333333,0,0.0016666666666666668,0,0.44333333333333336,0,0,0.01,0,0.043333333333333335,0,0.016666666666666666,0.14666666666666667,0.005,0,0.13166666666666665,0,0.0016666666666666668,0.03666666666666667,0,0.11,0,0.015,0,0.03,600,600
YHG,2025-03-23,60,0,0.02666666666666667,0,0,0,0.6466666666666666,0,0,0.011666666666666667,0,0.055,0,0.006666666666666667,0.07666666666666666,0,0,0.021666666666666667,0,0.0016666666666666668,0.005,0,0.105,0.03333333333333333,0.0016666666666666668,0,0.008333333333333333,600,600
YHG,2025-04-06,75,0,0.04258943781942078,0,0.018739352640545145,0.0034071550255536627,0.2708688245315162,0,0.005110732538330494,0,0,0.1362862010221465,0,0.0017035775127768314,0.09369676320272573,0,0,0.09880749574105621,0,0.010221465076660987,0.04599659284497445,0,0.06473594548551959,0.06473594548551959,0.01192504258943782,0,0.131175468483816,600,587
YHG,2025-04-22,90,0,0.001669449081803005,0,0,0,0.13689482470784642,0.00333889816360601,0.03005008347245409,0.025041736227045076,0,0.21535893155258765,0.001669449081803005,0.011686143572621035,0.09181969949916527,0,0.011686143572621035,0.08347245409015025,0,0.00667779632721202,0,0,0.1018363939899833,0.05509181969949917,0.0333889816360601,0.08013355592654424,0.11018363939899833,600,599
