MonitoringLocationName,MonitoringLocationIdentifier,Latitude,Longitude,DateTime_AST,row_id,Turbidity,pH,Enterococcus,Phosphorus,TSS,DO,Nitrogen
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-08-08T13:49:00Z,1,0.29,NA,31,NA,NA,NA,NA
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-08-08T13:49:00Z,2,0.24,NA,31,NA,NA,NA,NA
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-08-15T15:03:00Z,1,0.58,NA,20,NA,NA,NA,NA
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-08-22T13:43:00Z,1,0.29,NA,NA,NA,NA,NA,NA
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-08-29T14:47:00Z,1,0.36,NA,20,NA,NA,NA,NA
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-08-29T14:47:00Z,2,0.25,NA,20,NA,NA,NA,NA
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-09-06T14:12:00Z,1,15.3,NA,73,NA,NA,NA,NA
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-09-12T12:04:00Z,1,0.52,NA,10,NA,NA,NA,NA
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-09-20T12:57:00Z,1,0.56,NA,NA,NA,NA,NA,NA
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-09-26T13:13:00Z,1,2.46,NA,108,NA,NA,NA,NA
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-09-26T13:13:00Z,2,1.87,NA,20,NA,NA,NA,NA
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-10-03T12:56:00Z,1,0.16,NA,605,NA,NA,NA,NA
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2022-10-12T12:56:00Z,1,0.22,NA,145,NA,NA,NA,NA
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2023-01-17T12:44:00Z,1,3.67,NA,10,NA,NA,NA,NA
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2023-01-23T12:41:00Z,1,0.39,NA,134,NA,NA,NA,NA
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2023-03-14T12:36:00Z,1,3.05,NA,NA,NA,NA,NA,NA
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2023-03-20T12:27:00Z,1,0.74,NA,NA,NA,NA,NA,NA
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2023-03-28T12:23:00Z,1,0.64,NA,NA,NA,NA,NA,NA
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2023-04-03T12:53:00Z,1,0.75,NA,NA,NA,NA,NA,NA
Brewers Bay,USVIST_WQX-STT-49,18.34509,-64.9788,2023-04-11T11:58:00Z,1,0.68,NA,NA,NA,NA,NA,NA
